file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,104,css,8194951a,Khaleel Karim,2025-04-11,21:30:27,-07:00,2025-04-11T21:30:27-07:00,0,31
style.css,105,css,8194951a,Khaleel Karim,2025-04-11,21:30:27,-07:00,2025-04-11T21:30:27-07:00,0,8
style.css,106,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,107,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,6
style.css,108,css,8194951a,Khaleel Karim,2025-04-11,21:30:27,-07:00,2025-04-11T21:30:27-07:00,0,13
style.css,109,css,8194951a,Khaleel Karim,2025-04-11,21:30:27,-07:00,2025-04-11T21:30:27-07:00,0,30
style.css,110,css,8194951a,Khaleel Karim,2025-04-11,21:30:27,-07:00,2025-04-11T21:30:27-07:00,0,19
style.css,111,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,112,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,113,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,114,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,115,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,6
style.css,116,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,13
style.css,117,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,118,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,119,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,9
style.css,120,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,13
style.css,121,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
